LA Rams,47,1122,23.9,61,0,49,369,7.5,47,0,19
Cincinnati,39,1003,25.7,84,0,38,246,6.5,24,0,19
Philadelphia,35,956,27.3,98,2,19,246,12.9,66,0,13
Kansas City,40,943,23.6,86,1,40,592,14.8,95,2,8
NY Jets,43,941,21.9,65,0,27,149,5.5,27,0,28
Minnesota,33,902,27.3,104,1,34,354,10.4,79,2,22
Chicago,42,897,21.4,64,0,27,215,8,65,1,27
Jacksonville,37,881,23.8,100,1,40,220,5.5,42,0,24
Miami,35,879,25.1,96,1,36,328,9.1,74,1,18
Buffalo,39,829,21.3,45,0,28,314,11.2,43,0,17
Carolina,37,828,22.4,59,0,29,202,7,19,0,24
Seattle,35,808,23.1,46,0,30,249,8.3,62,0,28
Indianapolis,32,804,25.1,99,1,22,182,8.3,30,0,22
Detroit,35,793,22.7,42,0,20,246,12.3,85,2,16
San Francisco,38,749,19.7,41,0,23,216,9.4,29,0,36
NY Giants,31,739,23.8,46,0,45,275,6.1,19,0,17
Baltimore,28,636,22.7,60,0,32,246,7.7,28,0,21
Cleveland,34,634,18.6,36,0,30,200,6.7,18,0,13
Green Bay,32,631,19.7,40,0,26,235,9,55,0,21
Tennessee,33,629,19.1,37,0,30,236,7.9,18,0,22
Pittsburgh,28,603,21.5,44,0,22,185,8.4,33,0,19
Washington,27,570,21.1,45,0,29,344,11.9,85,1,16
Houston,30,557,18.6,39,0,39,427,10.9,67,1,29
Arizona,25,544,21.8,51,0,38,230,6.1,32,0,24
New England,29,542,18.7,73,0,45,309,6.9,30,0,18
Oakland,26,534,20.5,50,0,41,380,9.3,47,0,13
LA Chargers,28,508,18.1,30,0,32,212,6.6,21,0,12
Dallas,24,492,20.5,33,0,28,198,7.1,39,0,15
Atlanta,23,484,21,42,0,24,273,11.4,73,0,21
Denver,21,481,22.9,46,0,37,316,8.5,25,0,26
New Orleans,28,462,16.5,31,0,23,221,9.6,59,0,17
Tampa Bay,21,307,14.6,26,0,29,266,9.2,25,0,22