Buffalo,492,2630,5.3,75,29,164.4,11,3
Dallas,499,2396,4.8,60,24,149.8,9,2
Tennessee,476,2187,4.6,75,16,136.7,10,4
San Francisco,458,2019,4.4,47,15,126.2,8,6
Atlanta,421,1928,4.6,75,20,120.5,3,1
Oakland,434,1922,4.4,75,17,120.1,8,4
New England,482,1872,3.9,44,19,117,8,2
Houston,456,1859,4.1,45,8,116.2,8,2
Miami,405,1824,4.5,62,14,114,11,2
Carolina,453,1814,4,47,16,113.4,6,4
Philadelphia,438,1813,4.1,30,16,113.3,9,4
NY Jets,418,1802,4.3,35,10,112.6,6,3
Cincinnati,446,1769,4,74,17,110.6,5,2
Pittsburgh,409,1760,4.3,60,13,110,6,1
Kansas City,412,1748,4.2,70,15,109.3,5,4
New Orleans,404,1742,4.3,75,17,108.9,2,2
Chicago,380,1735,4.6,69,10,108.4,9,3
Arizona,399,1732,4.3,58,20,108.3,11,5
Cleveland,350,1712,4.9,85,13,107,12,5
Green Bay,374,1701,4.5,61,11,106.3,5,3
Washington,379,1696,4.5,66,17,106,7,4
Jacksonville,392,1631,4.2,57,8,101.9,9,5
Indianapolis,409,1628,4,33,13,101.8,5,3
Tampa Bay,453,1616,3.6,45,8,101,8,4
Seattle,403,1591,3.9,75,13,99.4,6,3
LA Chargers,398,1510,3.8,48,10,94.4,6,3
Denver,410,1484,3.6,64,11,92.8,5,2
Baltimore,367,1463,4,41,10,91.4,4,1
NY Giants,398,1412,3.5,25,6,88.3,2,1
Detroit,350,1310,3.7,42,9,81.9,2,2
LA Rams,375,1252,3.3,30,9,78.3,6,2
Minnesota,380,1205,3.2,36,9,75.3,3,2